,Address,Latitude,Longitude
59,61 RUE HENRY FARMAN - 75015 PARIS,48.83373383017729,2.271396472461431
60,25-31 BOULEVARD DE VAUGIRARD - 75015 PARIS,48.84132525980798,2.318291551592712
61,84 RUE DE LA FEDERATION - 75015 PARIS,48.852766743528136,2.297876431467921
62,41 AVENUE FELIX FAURE - 75015 PARIS,48.84124933604105,2.288386600849503
63,FACE AU 37 RUE MORILLONS - 75015 PARIS,48.83317977055646,2.299282641599619
64,4 RUE ANDRE GIDE  - 75015 PARIS,48.836566224433405,2.312707121097412
65,DEV 2 RUE JOSEPH LOUVILLE - 75015 PARIS,48.844806421735925,2.297572005982148
66,140 AVENUE DE SUFFREN - 75015 PARIS,48.84717561492764,2.307052147596786
67,FACE 1 RUE DU COTENTIN - 75015 PARIS,48.83893690995959,2.316168412063174
68,2 AVENUE DE LA PORTE DE SEVRES / AQUABOULEVARD - 75015 PARIS,48.83321982302087,2.2766303340516143
69,PLACE CHARLES VALLIN - 75015 PARIS,48.835524753591024,2.302621940941139
70,65 RUE DANTZIG - 75015 PARIS,48.830269390287846,2.296008076086666
71,143 AVENUE EMILE ZOLA - 75015 PARIS,48.847098684130465,2.296238450505518
72,RUE ERNEST RENAN / PARC DES EXPOSITIONS - 75015 PARIS,48.83110018727263,2.285387594831689
73,13 PLACE BALARD - 75015 PARIS,48.83653728947088,2.278717697019357
74,112 AVE FELIX FAURE - 75015 PARIS,48.83873440827471,2.2817555401387652
75,23 RUE EMILE ZOLA - 75015 PARIS,48.84638377300339,2.2800084119041286
76,85 RUE DUTOT - 75015 PARIS,48.836575664250326,2.306874517122675
77,7 PLACE FALGUIERE - 75015 PARIS,48.83633386181695,2.3104662380308523
78,19 RUE VIGEE LEBRUN - 75015 PARIS,48.838758813497,2.3109360795034
79,DEV 71 BOULEVARD DE VAUGIRARD - 75015 PARIS,48.84059586740371,2.315363038202961
80,120 BOULEVARD MURAT - 75016 PARIS,48.83755526001463,2.2579725727069033
81,26-32 RUE PAUL VALERY - 75016 PARIS,48.87136103977559,2.288866396041159
82,4 RUE DES BELLES FEUILLES - 75016 PARIS,48.865855496363146,2.282859908979733
83,1 BIS RUE DE SIAM - 75016 PARIS,48.861720329027264,2.275346568555312
84,161 AVENUE MALAKOFF - 75016 PARIS,48.87669268743692,2.283457593383419
85,1 RUE GROS - 75016 PARIS,48.851359912581465,2.2776972694486233
86,71 AVENUE HENRI MARTIN - 75016 PARIS,48.8640767117056,2.276881687006711
